Image_ID,ToothClass,Xmin,Ymin,Xmax,Ymax
0,33,284,315,325,361
0,37,372,119,448,193
0,47,40,114,113,186
0,35,325,236,379,287
0,41,200,362,237,411
0,46,71,171,139,250
0,44,121,281,168,329
0,34,306,275,354,326
0,45,97,241,150,289
0,32,259,338,298,382
0,31,229,353,266,397
0,43,144,320,186,366
0,42,171,343,212,388
1,35,366,259,416,307
1,45,96,256,147,304
1,42,186,351,224,403
1,47,48,126,121,190
1,32,290,354,330,403
1,44,115,295,165,346
1,46,70,182,144,262
1,36,368,185,441,263
1,37,388,126,460,192
1,34,349,299,398,351
1,43,147,333,189,382
1,33,324,335,367,388
1,31,257,361,292,406
1,41,223,362,256,406
2,46,85,195,147,266
2,37,371,127,455,209
2,44,106,263,154,312
2,31,254,354,292,409
2,47,60,113,143,198
2,43,142,320,179,368
2,32,295,345,335,395
2,41,214,355,252,405
2,35,351,271,401,323
2,33,328,322,367,368
2,36,366,204,427,274
2,42,175,344,214,398
3,36,353,148,422,222
3,45,97,203,153,253
3,34,325,259,368,308
3,31,239,325,277,368
3,44,120,248,163,297
3,43,142,293,178,338
3,41,205,323,239,366
3,42,169,311,208,355
3,33,304,300,341,345
3,37,377,101,445,155
3,46,80,134,146,206
3,35,341,215,398,268
3,32,274,317,313,360
3,47,74,104,135,138
4,32,248,369,286,413
4,46,72,154,143,226
4,41,175,365,217,411
4,44,107,283,147,332
4,42,141,351,182,397
4,45,85,226,138,287
4,35,329,265,389,325
4,36,343,201,416,273
4,31,213,373,249,419
4,33,289,353,327,390
4,34,305,311,346,361
4,43,124,327,159,363
5,33,317,312,359,356
5,46,84,181,157,255
5,47,54,125,124,201
5,36,346,167,414,238
5,35,338,231,391,279
5,31,263,342,300,383
5,48,30,74,97,140
5,32,298,338,335,378
5,34,332,273,377,319
5,37,361,103,426,173
5,45,116,243,171,293
5,44,132,286,181,330
5,42,186,343,225,386
5,38,389,55,446,114
5,41,225,342,263,384
5,43,156,319,201,364
6,44,131,299,186,355
6,32,300,341,340,381
6,35,353,215,411,276
6,33,329,320,372,368
6,45,99,253,159,313
6,42,205,352,244,393
6,31,270,353,307,392
6,36,356,141,432,224
6,43,166,337,210,387
6,46,60,185,137,270
6,41,239,363,276,403
6,47,33,136,108,193
6,34,342,271,396,324
6,37,357,67,427,140
7,34,355,322,399,368
7,47,86,169,152,237
7,46,105,231,171,302
7,36,362,213,425,281
7,43,173,374,215,417
7,48,49,114,119,183
7,41,243,400,278,438
7,38,387,82,454,154
7,45,131,295,178,344
7,37,373,150,437,216
7,44,150,339,192,384
7,35,360,278,408,324
7,33,332,361,378,405
7,32,308,381,348,426
7,31,278,397,312,436
7,42,206,399,246,431
8,32,273,340,306,377
8,36,343,145,408,216
8,33,298,319,336,361
8,31,242,350,276,386
8,43,149,326,187,366
8,35,343,216,398,279
8,42,176,344,211,381
8,34,326,272,373,315
8,44,116,283,164,328
8,41,209,350,242,385
8,46,60,158,127,232
9,37,374,124,442,200
9,32,251,352,291,391
9,33,280,331,320,380
9,47,54,91,118,160
9,46,65,158,133,232
9,35,330,254,383,308
9,44,104,272,151,322
9,42,155,343,193,386
9,45,87,229,141,276
9,41,190,351,222,390
9,31,222,358,256,395
9,36,344,189,419,265
9,43,125,316,167,362
9,34,309,296,355,348
10,41,189,387,234,435
10,45,64,238,134,312
10,32,262,386,298,433
10,35,342,269,415,348
10,33,290,369,338,416
10,34,311,328,369,383
10,36,369,200,445,277
10,44,107,296,158,355
10,31,224,393,266,439
10,43,131,345,178,394
10,46,53,161,117,238
10,42,158,368,205,419
11,44,115,298,162,346
11,36,326,201,395,275
11,34,299,301,346,347
11,35,316,264,368,310
11,46,73,192,142,268
11,43,134,338,176,385
11,42,160,345,200,390
11,32,257,347,296,391
11,31,228,355,261,399
11,45,99,257,150,307
11,37,352,144,425,212
11,47,53,128,123,201
11,33,282,340,325,387
11,41,197,352,229,395
12,37,393,115,466,185
12,32,284,355,329,398
12,42,179,354,221,398
12,31,252,361,289,402
12,33,315,334,362,384
12,44,117,291,167,340
12,43,142,336,189,383
12,46,68,173,142,250
12,47,42,106,116,181
12,36,369,179,445,255
12,41,217,362,252,403
12,34,341,295,391,344
12,35,360,249,413,300
12,45,100,242,157,294
13,36,385,170,461,256
13,46,76,152,149,234
13,33,321,338,366,388
13,41,215,356,254,401
13,31,248,354,286,398
13,45,102,225,161,279
13,32,285,353,330,397
13,37,409,94,485,180
13,47,55,74,129,155
13,43,138,327,182,376
13,34,346,294,396,347
13,42,176,350,217,392
13,35,367,243,419,303
13,44,116,278,169,331
14,36,356,142,429,218
14,44,106,250,159,307
14,47,59,62,132,141
14,41,202,325,244,372
14,42,171,313,215,360
14,37,374,69,445,147
14,46,77,134,145,210
14,32,280,315,322,361
14,34,335,258,387,315
14,33,318,304,369,356
14,31,243,323,283,370
14,43,130,295,183,347
14,38,388,0,461,74
14,45,91,202,146,258
14,48,48,0,119,66
14,35,346,207,401,265
15,36,356,179,429,258
15,33,313,336,357,383
15,46,69,186,143,265
15,47,51,115,125,192
15,37,372,105,445,183
15,31,255,369,290,418
15,32,283,358,324,404
15,43,149,335,195,387
15,34,337,297,384,347
15,44,121,301,169,351
15,45,98,254,155,308
15,35,350,252,405,303
15,41,221,368,254,420
15,42,183,359,223,410
16,46,87,184,155,259
16,47,68,120,137,192
16,44,138,293,181,340
16,42,197,351,234,399
16,45,112,253,163,301
16,35,357,242,408,291
16,43,166,328,206,376
16,41,233,362,266,410
16,34,341,284,387,330
16,33,323,324,364,369
16,32,298,348,336,397
16,31,267,361,300,409
16,36,360,173,427,246
16,37,373,109,438,176
17,32,279,337,319,384
17,45,89,214,149,287
17,34,330,281,380,340
17,35,349,218,410,290
17,46,74,145,143,217
17,31,250,352,288,398
17,43,154,313,181,358
17,44,122,274,171,324
17,42,172,342,215,382
17,36,367,149,437,224
17,41,213,347,251,395
18,45,95,222,154,290
18,34,338,268,382,313
18,32,291,326,331,366
18,35,343,200,402,268
18,43,150,321,185,363
18,44,121,287,165,333
18,46,78,154,145,226
18,36,352,132,420,203
18,33,320,306,357,349
18,31,258,336,296,372
18,42,181,339,220,376
18,41,219,342,256,375
19,43,158,314,192,360
19,34,347,291,392,338
19,46,90,157,160,232
19,35,355,231,414,297
19,41,224,346,262,384
19,36,375,166,446,239
19,32,293,340,336,379
19,45,116,229,169,278
19,31,258,343,297,382
19,42,188,335,228,374
19,33,326,328,365,374
19,44,135,276,176,323
20,44,111,284,159,346
20,34,324,267,371,329
20,33,307,325,346,366
20,35,339,205,402,276
20,36,351,143,425,212
20,46,55,148,130,228
20,45,81,221,143,293
20,31,241,369,286,399
20,32,274,364,316,385
20,41,203,369,242,398
20,42,174,363,205,400
20,43,141,337,180,376
21,35,357,201,413,265
21,44,130,252,178,308
21,42,188,323,227,367
21,46,86,143,156,217
21,33,315,302,360,353
21,34,342,258,391,315
21,41,222,332,259,376
21,36,373,137,443,206
21,43,157,297,203,348
21,31,260,332,294,378
21,45,110,211,164,261
21,32,293,326,331,370
22,31,275,336,315,376
22,35,382,199,445,270
22,43,166,311,202,349
22,42,196,327,237,365
22,44,135,263,183,325
22,45,105,200,169,272
22,46,83,128,155,208
22,34,363,263,412,324
22,41,235,338,274,374
22,36,392,122,467,204
22,33,348,317,385,351
22,32,311,330,353,366
23,42,189,362,231,402
23,46,82,175,156,254
23,36,358,169,432,249
23,32,294,361,335,401
23,44,127,297,179,347
23,45,105,251,163,304
23,34,344,293,396,345
23,41,227,371,264,411
23,31,262,369,301,409
23,37,375,103,443,175
23,35,358,246,412,299
23,47,67,112,136,183
